name,source,gender,wikidata,type
Alma-Rogge-Straße,wikidata,F,Q99017,way
Charlottenstraße,wikidata,F,Q62550,way
Emma-Ritter-Weg,wikidata,F,Q1338079,way
Gertrud-Bäumer-Weg,wikidata,F,Q71416,way
Ina-Seidel-Straße,wikidata,F,Q88296,way
Maria-Montessori-Straße,wikidata,F,Q131117,way
Marie-Curie-Straße,wikidata,F,Q7186,way
Ricarda-Huch-Straße,wikidata,F,Q60785,way
Adolf-Grimme-Straße,wikidata,M,Q84851,way
Alfred-Kubin-Straße,wikidata,M,Q558054,way
August-Hinrichs-Straße,wikidata,M,Q120619,way
August-Wilhelm-Kühnholz-Straße,wikidata,M,Q760649,way
Behrens-Ring,wikidata,M,Q76726,way
Bernhard-Winter-Straße,wikidata,M,Q826179,way
Bonhoefferstraße,wikidata,M,Q76326,way
Böversweg,wikidata,M,Q94910573,way
Dr.-Hans-Klüber-Straße,wikidata,M,Q1580774,way
Dr.-Sauerbruch-Straße,wikidata,M,Q62330,way
Dr.-Theodor-Goerlitz-Straße,wikidata,M,Q1386837,way
Emil-Nolde-Straße,wikidata,M,Q152788,way
Erich-Heckel-Straße,wikidata,M,Q156700,way
Ernst-Barlach-Straße,wikidata,M,Q156890,way
Ernst-Lemmer-Straße,wikidata,M,Q897275,way
Felix-Wankel-Straße,wikidata,M,Q77097,way
Franz-Radziwill-Straße,wikidata,M,Q454593,way
Georg-von-der-Vring-Straße,wikidata,M,Q1506744,way
Grafestraße,wikidata,M,Q110532043,way
Gropiusstraße,wikidata,M,Q61071,way
Gulbranssonstraße,wikidata,M,Q700975,way
Gustav-Lienemann-Straße,wikidata,M,Q102697,way
Hans-Lodi-Straße,wikidata,M,Q97112,way
Hein-Bredendiek-Straße,wikidata,M,Q1595924,way
Heinrich-Diers-Straße,wikidata,M,Q13188400,way
Heinrich-Kunst-Straße,wikidata,M,Q97593,way
Hindenburgstraße,wikidata,M,Q2667,way
Hinrich-Wilhelm-Kopf-Straße,wikidata,M,Q73973,way
Hugo-Eckener-Straße,wikidata,M,Q61666,way
Jan-Oeltjen-Straße,wikidata,M,Q26721397,way
Julius-Leber-Straße,wikidata,M,Q215630,way
Karl-Bunje-Straße,wikidata,M,Q111251,way
Ludwig-Erhard-Straße,wikidata,M,Q2496,way
Ludwig-Freese-Straße,wikidata,M,Q29653477,way
Ludwig-Kaas-Straße,wikidata,M,Q61895,way
Mies-van-der-Rohe-Straße,wikidata,M,Q41508,way
Nikolaus-Bernett-Straße,wikidata,M,Q15435256,way
Noackstraße,wikidata,M,Q15791032,way
Oskar-Schlemmer-Straße,wikidata,M,Q458816,way
Otto-Dix-Straße,wikidata,M,Q153104,way
Otto-Modersohn-Straße,wikidata,M,Q71425,way
Paul-Bonatz-Straße,wikidata,M,Q67612,way
Reichweinstraße,wikidata,M,Q78422,way
Reinhold-Maier-Straße,wikidata,M,Q213976,way
Richard-Strauss-Straße,wikidata,M,Q13894,way
Richard-tom-Dieck-Straße,wikidata,M,Q16945542,way
Roggemannstraße,wikidata,M,Q1220287,way
Rüthningstraße,wikidata,M,Q65683262,way
Schulenburgstraße,wikidata,M,Q204267,way
Schütte-Lanz-Straße,wikidata,M,Q1696195,way
Tappenbeckstraße,wikidata,M,Q1733139,way
Theodor-Pekol-Straße,wikidata,M,Q2418090,way
Walther-Diekmann-Straße,wikidata,M,Q2543962,way
Wilhelm-Ahlhorn-Weg,wikidata,M,Q2571649,way
Wilhelm-Kempin-Straße,wikidata,M,Q28966309,way
Wilhelm-Krüger-Straße,wikidata,M,Q2573784,way
Wilhelm-Nieberg-Straße,wikidata,M,Q2574339,way
Wilhelm-Wisser-Straße,wikidata,M,Q105040,way
Willi-Trinne-Straße,wikidata,M,Q2577564,way
Wolfgang-Hartung-Straße,wikidata,M,Q2589854,way
