name,source,gender,wikidata,type
"91er Straße",,,,way
Aalweg,,,,way
Abraham,,,,way
Achterdiek,,,,way
Achterhöfen,,,,way
Achtermöhlen,,,,way
"Achtern Wittenmoor",,,,way
Achternstraße,,,,way
Achtersteven,,,,way
Ackerstraße,,,,way
Acordialstraße,,,,way
Adalbert-Stifter-Straße,,,,way
Adelheidstraße,,,,way
Adenauerallee,,,,way
Adlerstraße,,,,way
Adolf-Rauchheld-Straße,,,,way
Adolf-de-Beer-Straße,,,,way
Ahlersweg,,,,way
Ahlkenweg,,,,way
Ahornweg,,,,way
Ahrensstraße,,,,way
Akazienstraße,,,,way
Akeleiweg,,,,way
Alan-Turing-Straße,,,,way
Albert-Schweitzer-Straße,,,,way
Alexandersfeld,,,,way
Alexanderstraße,,,,way
Allensteinstraße,,,,way
Altburgstraße,,,,way
"Alte Amalienstraße",,,,way
"Alte Färberei",,,,way
"Alte Fleiwa",,,,way
"Alte Gärtnerei",,,,way
"Alte Raad",,,,way
"Alte Schäferei",,,,way
"Alte Weide",,,,way
Alteneschstraße,,,,way
"Alter Bahndamm",,,,way
"Alter Eichenhof",,,,way
"Alter Kamp",,,,way
"Alter Kanal",,,,way
"Alter Postweg",,,,way
"Alter Stadthafen",,,,way
"Am Alexanderhaus",,,,way
"Am Apfelhof",,,,way
"Am Bahndamm",,,,way
"Am Bienenstand",,,,way
"Am Borgwall",,,,way
"Am Born",,,,way
"Am Bornhorster See",,,,way
"Am Brink",,,,way
"Am Cäcilienhof",,,,way
"Am Dornbusch",,,,way
"Am Drielaker Kanal",,,,way
"Am Ende",,,,way
"Am Entengrund",,,,way
"Am Evelsmoor",,,,way
"Am Festungsgraben",,,,way
"Am Hagen",,,,way
"Am Hayengraben",,,,way
"Am Hochstand",,,,way
"Am Hufeisen",,,,way
"Am Karuschenteich",,,,way
"Am Kreyenhof",,,,way
"Am Küstenkanal",,,,way
"Am Meere",,,,way
"Am Palstek",,,,way
"Am Patentbusch",,,,way
"Am Pulverturm",,,,way
"Am Reithgraben",,,,way
"Am Rundtörn",,,,way
"Am Sande",,,,way
"Am Scheibenplatz",,,,way
"Am Schießstand",,,,way
"Am Schloßgarten",,,,way
"Am Schmeel",,,,way
"Am Schulgraben",,,,way
"Am Schützenplatz",,,,way
"Am Stadtmuseum",,,,way
"Am Stadtrand",,,,way
"Am Strehl",,,,way
"Am Struthof",,,,way
"Am Stübenhaus",,,,way
"Am Tegelbusch",,,,way
"Am Tennispark",,,,way
"Am Tweelbäker See",,,,way
"Am Wallplacken",,,,way
"Am Wasserturm",,,,way
"Am Wemkenhof",,,,way
"Am Wendehafen",,,,way
"Am Wienhof",,,,way
"Am Wunderburgpark",,,,way
"Am Wüschemeer",,,,way
"Am Zollbaum",,,,way
"Am Zuggraben",,,,way
Amalienstraße,,,,way
Amannstraße,,,,way
Ammergaustraße,,,,way
"Ammerländer Heerstraße",,,,way
Ammerlandstraße,,,,way
Amrumstraße,,,,way
Amselweg,,,,way
"Amsterdamer Ring",,,,way
"An de Bullwisch",,,,way
"An den Eschen",,,,way
"An den Teichen",,,,way
"An den Voßbergen",,,,way
"An der Bäke",,,,way
"An der Beverbäke",,,,way
"An der Braker Bahn",,,,way
"An der Feldwische",,,,way
"An der Fuchsbäke",,,,way
"An der Großen Wisch",,,,way
"An der Hauptwache",,,,way
"An der Hausbäke",,,,way
"An der Josefskirche",,,,way
"An der Kastanie",,,,way
"An der Kolckwiese",,,,way
"An der Kreuzkirche",,,,way
"An der Nordbäke",,,,way
"An der Schmiede",,,,way
"An der Südbäke",,,,way
"An der Tonkuhle",,,,way
Andersenstraße,,,,way
Angelweg,,,,way
Angerweg,,,,way
